AGE,SCHOOL TYPE,GENDER,CASTE,FAMILY INCOME,OCCUPATION,MARRIED(YES/NO),ACADEMIC MARKS,NO OF SIBLINGS,WORK(YES/NO),CLASS,LOCATION,DROPOUT
12,GOVT,M,ST,81413,LABOUR,YES,65,3,NO,10,URBAN,Y
18,PVT,F,OBC,215790,ACCOUNTANT,NO,89,1,NO,10,RURAL,N
17,PVT,F,GEN,300000,ACCOUNTANT,NO,78,2,NO,11,RURAL,N
18,GOVT,M,GEN,92671,FARMER,NO,68,1,YES,12,RURAL,N
13,GOVT,M,SC,98497,LABOUR,NO,61,4,YES,3,RURAL,Y
18,PVT,F,GEN,300000,BUSINESS,NO,74,1,NO,9,URBAN,N
10,GOVT,M,OBC,121824,LABOUR,NO,56,5,NO,3,RURAL,Y
11,GOVT,M,SC,110371,FARMER,NO,63,3,YES,3,RURAL,Y
17,PVT,M,GEN,99787,ACCOUNTANT,NO,64,1,YES,11,RURAL,Y
18,PVT,F,OBC,130261,BUSINESS,NO,63,3,YES,10,RURAL,N
13,GOVT,M,SC,127318,PEON,NO,55,4,YES,3,RURAL,N
15,PVT,F,GEN,300000,ACCOUNTANT,NO,81,1,NO,10,URBAN,N
18,PVT,F,GEN,300000,PEON,YES,78,2,NO,8,RURAL,Y
18,PVT,M,GEN,82555,TEACHER,YES,82,3,NO,3,URBAN,N
13,GOVT,M,OBC,92263,TEACHER,NO,78,4,YES,3,RURAL,Y
14,GOVT,M,SC,95922,TEACHER,NO,67,2,NO,10,URBAN,N
17,PVT,F,GEN,124970,TEACHER,NO,66,1,NO,10,URBAN,N
17,PVT,F,GEN,140502,ACCOUNTANT,NO,89,1,NO,11,RURAL,N
18,GOVT,F,GEN,300000,BUSINESS,NO,72,1,YES,10,RURAL,N
16,GOVT,M,GEN,126602,PEON,YES,87,2,NO,9,URBAN,N
17,PVT,F,GEN,300000,BUSINESS,YES,89,1,NO,9,URBAN,N
13,GOVT,F,GEN,111886,FARMER,YES,64,5,NO,3,RURAL,Y
10,GOVT,M,GEN,115047,PEON,NO,67,3,YES,3,URBAN,N
17,GOVT,M,SC,89057,FARMER,NO,74,2,NO,5,RURAL,Y
12,GOVT,M,OBC,59029,LABOUR,NO,61,3,YES,6,RURAL,Y
13,GOVT,M,OBC,59000,LABOUR,NO,55,5,YES,3,RURAL,N
15,GOVT,F,GEN,135553,FARMER,NO,65,4,NO,10,RURAL,N
13,GOVT,M,ST,93142,LABOUR,NO,59,4,YES,3,RURAL,Y
18,PVT,F,GEN,300000,PEON,YES,86,3,NO,8,URBAN,N
15,PVT,F,GEN,151204,ACCOUNTANT,NO,89,1,NO,10,URBAN,N
18,PVT,F,GEN,221437,ACCOUNTANT,NO,83,1,NO,11,RURAL,N
17,PVT,M,SC,112863,PEON,YES,59,3,YES,4,RURAL,Y
16,PVT,F,GEN,275559,PEON,NO,86,2,NO,9,RURAL,N
11,GOVT,M,SC,59000,LABOUR,NO,58,5,YES,4,RURAL,Y
16,GOVT,M,OBC,261461,TEACHER,NO,89,1,NO,8,URBAN,N
10,GOVT,M,SC,76183,TEACHER,YES,60,5,NO,3,URBAN,Y
18,PVT,F,GEN,172980,BUSINESS,YES,82,2,NO,9,URBAN,N
12,GOVT,M,ST,106176,LABOUR,NO,74,4,NO,4,RURAL,Y
13,GOVT,M,ST,83104,LABOUR,YES,55,4,YES,3,RURAL,Y
12,GOVT,M,OBC,70611,FARMER,NO,55,4,YES,3,RURAL,Y
15,PVT,F,GEN,256278,BUSINESS,NO,89,2,NO,9,URBAN,N
13,GOVT,M,OBC,72730,PEON,NO,63,3,YES,5,RURAL,Y
10,GOVT,M,SC,107402,LABOUR,NO,70,3,NO,4,RURAL,Y
16,GOVT,M,OBC,102573,LABOUR,NO,61,5,YES,3,RURAL,Y
13,GOVT,M,OBC,120657,LABOUR,NO,62,4,NO,3,RURAL,Y
17,PVT,M,GEN,298897,LABOUR,NO,63,2,YES,4,RURAL,Y
17,GOVT,M,OBC,98628,LABOUR,NO,55,2,NO,4,RURAL,Y
18,PVT,F,GEN,300000,BUSINESS,NO,84,3,NO,10,RURAL,N
18,GOVT,M,OBC,114509,PEON,NO,77,2,YES,4,RURAL,Y
14,GOVT,M,SC,59000,LABOUR,NO,57,5,YES,3,RURAL,Y
17,PVT,F,GEN,183773,TEACHER,YES,89,1,NO,10,URBAN,N
17,PVT,F,GEN,229211,ACCOUNTANT,NO,85,2,NO,11,URBAN,N
17,PVT,M,GEN,101560,ACCOUNTANT,NO,88,2,NO,9,URBAN,N
18,PVT,F,GEN,129587,PEON,NO,86,1,NO,10,URBAN,N
18,PVT,F,GEN,300000,PEON,NO,89,1,NO,9,URBAN,N
12,GOVT,M,GEN,92707,LABOUR,NO,58,5,NO,4,URBAN,Y
13,GOVT,M,OBC,91632,LABOUR,NO,63,4,NO,3,RURAL,Y
12,GOVT,M,GEN,107949,LABOUR,NO,69,4,NO,3,RURAL,Y
14,PVT,F,GEN,300000,ACCOUNTANT,NO,89,2,NO,9,URBAN,N
18,PVT,F,GEN,205923,PEON,NO,89,1,YES,11,RURAL,Y
13,GOVT,M,ST,64083,LABOUR,NO,69,4,NO,4,RURAL,Y
10,GOVT,M,ST,68273,LABOUR,YES,57,4,YES,3,RURAL,Y
18,PVT,F,GEN,117092,TEACHER,NO,62,1,NO,9,RURAL,N
17,PVT,M,GEN,102932,BUSINESS,YES,75,5,NO,7,URBAN,N
17,PVT,F,GEN,246799,ACCOUNTANT,NO,89,1,NO,9,URBAN,N
18,GOVT,M,OBC,110648,PEON,YES,75,1,NO,4,RURAL,N
17,PVT,M,OBC,120370,TEACHER,NO,81,1,NO,10,RURAL,N
11,GOVT,M,SC,59000,LABOUR,NO,57,5,YES,3,URBAN,Y
14,GOVT,M,ST,89140,LABOUR,NO,65,4,YES,4,RURAL,Y
9,GOVT,M,ST,59000,LABOUR,YES,55,5,NO,3,RURAL,Y
16,GOVT,M,GEN,147228,BUSINESS,NO,85,2,YES,10,RURAL,N
18,PVT,M,GEN,300000,ACCOUNTANT,NO,85,2,YES,9,RURAL,N
13,GOVT,M,OBC,68763,LABOUR,NO,62,4,YES,3,RURAL,Y
11,GOVT,M,GEN,125679,LABOUR,YES,61,5,NO,10,URBAN,Y
10,GOVT,M,ST,80771,LABOUR,NO,62,4,NO,3,RURAL,Y
12,GOVT,M,OBC,59000,LABOUR,NO,75,2,NO,4,RURAL,N
15,GOVT,M,OBC,61545,LABOUR,NO,65,3,YES,6,RURAL,Y
14,PVT,M,SC,106516,TEACHER,NO,55,4,YES,5,RURAL,Y
13,GOVT,F,GEN,123082,ACCOUNTANT,NO,74,3,NO,3,URBAN,N
17,GOVT,M,OBC,59000,LABOUR,YES,61,4,YES,4,RURAL,Y
17,PVT,F,GEN,147066,ACCOUNTANT,NO,86,1,NO,9,URBAN,N
18,GOVT,M,OBC,211572,ACCOUNTANT,NO,89,1,NO,9,URBAN,N
10,GOVT,M,GEN,171149,FARMER,NO,63,4,YES,3,URBAN,Y
16,PVT,F,GEN,282155,ACCOUNTANT,NO,89,1,YES,11,RURAL,N
14,GOVT,M,GEN,118445,LABOUR,YES,64,3,NO,3,RURAL,Y
15,PVT,M,GEN,59000,TEACHER,YES,86,2,NO,8,URBAN,N
17,GOVT,M,OBC,135041,PEON,NO,89,1,YES,4,RURAL,N
14,GOVT,M,OBC,119875,LABOUR,NO,61,5,YES,3,URBAN,Y
18,PVT,F,ST,288202,PEON,NO,89,1,NO,10,RURAL,N
17,GOVT,F,GEN,94458,ACCOUNTANT,NO,86,1,YES,11,RURAL,N
18,PVT,F,GEN,173682,ACCOUNTANT,YES,81,1,NO,8,URBAN,N
12,GOVT,M,GEN,132928,LABOUR,NO,55,4,NO,3,RURAL,Y
10,GOVT,M,GEN,83079,TEACHER,YES,77,4,NO,3,URBAN,N
18,PVT,F,GEN,173004,ACCOUNTANT,YES,89,2,NO,9,URBAN,N
13,GOVT,F,GEN,146455,LABOUR,YES,77,4,NO,3,URBAN,Y
17,PVT,F,GEN,266671,BUSINESS,NO,85,2,NO,10,URBAN,N
11,GOVT,M,ST,110439,LABOUR,NO,63,5,YES,9,RURAL,Y
17,PVT,F,ST,69950,LABOUR,YES,76,2,NO,8,URBAN,Y
18,PVT,F,GEN,124556,ACCOUNTANT,NO,89,1,YES,11,RURAL,N
12,GOVT,M,ST,59000,LABOUR,NO,60,5,YES,3,RURAL,Y
13,GOVT,M,SC,62880,LABOUR,NO,55,4,NO,3,RURAL,Y
18,PVT,F,GEN,300000,ACCOUNTANT,NO,87,1,NO,12,URBAN,N
16,GOVT,M,OBC,133352,LABOUR,NO,55,5,YES,4,RURAL,Y
18,GOVT,F,GEN,105608,PEON,NO,77,3,YES,5,RURAL,N
18,GOVT,F,GEN,165627,TEACHER,NO,76,2,NO,9,RURAL,Y
14,GOVT,M,SC,92414,FARMER,NO,66,3,YES,5,RURAL,Y
13,PVT,F,GEN,124890,BUSINESS,NO,75,2,YES,9,URBAN,N
12,GOVT,M,SC,125986,BUSINESS,NO,55,4,NO,3,RURAL,Y
15,GOVT,M,SC,59000,LABOUR,NO,61,5,YES,5,RURAL,Y
16,PVT,F,OBC,300000,ACCOUNTANT,NO,87,1,NO,11,RURAL,N
18,PVT,M,OBC,169477,ACCOUNTANT,NO,65,1,YES,10,RURAL,N
18,PVT,F,GEN,273704,BUSINESS,NO,89,1,NO,8,URBAN,N
16,PVT,F,GEN,233690,BUSINESS,YES,88,1,NO,8,URBAN,N
14,GOVT,M,ST,101471,LABOUR,NO,56,1,YES,4,RURAL,N
12,GOVT,M,SC,59745,LABOUR,NO,55,4,YES,4,RURAL,Y
13,GOVT,M,ST,88110,LABOUR,NO,58,5,YES,3,RURAL,Y
14,GOVT,M,OBC,83034,PEON,NO,62,5,YES,4,RURAL,Y
16,PVT,F,GEN,251399,BUSINESS,NO,85,1,NO,10,URBAN,N
11,GOVT,M,GEN,73060,TEACHER,NO,76,4,NO,3,RURAL,Y
18,PVT,F,GEN,73061,LABOUR,YES,89,1,NO,7,URBAN,Y
16,PVT,F,GEN,130551,ACCOUNTANT,YES,85,2,NO,9,URBAN,N
17,GOVT,M,GEN,113860,ACCOUNTANT,NO,58,1,YES,4,RURAL,Y
18,GOVT,F,OBC,119169,LABOUR,YES,61,2,YES,4,RURAL,Y
13,GOVT,M,SC,59000,LABOUR,NO,63,4,NO,3,URBAN,Y
13,GOVT,M,SC,63405,FARMER,NO,73,5,YES,3,RURAL,Y
13,GOVT,M,SC,103783,FARMER,NO,76,2,NO,4,RURAL,Y
18,GOVT,F,GEN,140599,ACCOUNTANT,NO,73,1,YES,11,URBAN,N
18,PVT,F,GEN,112061,LABOUR,NO,88,1,NO,8,URBAN,N
12,GOVT,M,ST,59000,LABOUR,NO,55,5,YES,3,RURAL,Y
14,GOVT,F,SC,102818,PEON,NO,65,3,YES,6,RURAL,Y
18,GOVT,M,OBC,63046,FARMER,NO,62,4,YES,4,RURAL,Y
13,GOVT,M,GEN,97140,ACCOUNTANT,NO,63,2,YES,5,RURAL,Y
12,GOVT,M,GEN,62276,PEON,YES,87,3,NO,4,RURAL,N
10,PVT,F,GEN,168665,ACCOUNTANT,NO,62,4,NO,3,RURAL,Y
9,GOVT,M,OBC,98751,LABOUR,YES,55,4,NO,3,URBAN,Y
18,PVT,F,GEN,280392,ACCOUNTANT,YES,84,2,NO,10,URBAN,N
18,PVT,F,GEN,182893,PEON,NO,89,1,NO,9,RURAL,N
13,GOVT,M,ST,92065,LABOUR,NO,70,4,NO,3,RURAL,Y
18,PVT,M,GEN,137491,LABOUR,NO,65,4,NO,4,RURAL,Y
10,PVT,F,GEN,168830,ACCOUNTANT,NO,89,3,NO,5,RURAL,N
16,GOVT,F,GEN,300000,FARMER,YES,89,1,NO,10,URBAN,Y
15,GOVT,M,ST,63951,LABOUR,NO,71,4,YES,4,RURAL,Y
18,GOVT,M,ST,134495,LABOUR,YES,59,1,YES,10,RURAL,N
18,PVT,F,GEN,236469,TEACHER,NO,76,1,NO,8,RURAL,Y
18,GOVT,F,GEN,145552,TEACHER,YES,64,1,NO,10,URBAN,N
12,GOVT,M,GEN,127254,LABOUR,NO,60,3,NO,4,RURAL,Y
14,GOVT,M,SC,171377,LABOUR,YES,58,2,NO,4,RURAL,Y
17,PVT,F,GEN,273520,BUSINESS,NO,88,1,NO,8,URBAN,N
14,PVT,F,GEN,63261,LABOUR,YES,55,5,NO,4,RURAL,Y
17,GOVT,F,GEN,127698,BUSINESS,NO,80,1,NO,8,RURAL,Y
16,PVT,F,GEN,300000,ACCOUNTANT,NO,89,1,NO,8,URBAN,N
18,PVT,M,GEN,176892,ACCOUNTANT,NO,60,2,NO,4,RURAL,N
17,PVT,F,OBC,118296,TEACHER,NO,66,2,YES,10,RURAL,N
14,GOVT,M,SC,120903,LABOUR,NO,60,2,NO,3,RURAL,Y
17,PVT,F,GEN,264723,PEON,NO,74,2,NO,11,RURAL,N
18,PVT,F,GEN,235431,PEON,NO,89,2,NO,10,URBAN,N
13,PVT,M,GEN,151191,LABOUR,NO,62,2,NO,3,RURAL,N
18,GOVT,F,GEN,83196,ACCOUNTANT,NO,87,1,NO,10,URBAN,N
15,GOVT,F,SC,72149,FARMER,NO,68,4,YES,4,RURAL,Y
17,PVT,F,GEN,167765,BUSINESS,YES,89,2,NO,8,URBAN,N
17,PVT,F,GEN,300000,ACCOUNTANT,NO,89,1,NO,7,URBAN,N
17,GOVT,F,GEN,229597,LABOUR,NO,73,4,NO,4,URBAN,N
16,PVT,F,GEN,193122,BUSINESS,NO,75,3,NO,8,RURAL,N
18,PVT,F,GEN,85670,LABOUR,YES,89,1,NO,10,URBAN,N
18,GOVT,M,OBC,94186,TEACHER,NO,73,3,YES,3,RURAL,Y
15,GOVT,M,SC,59000,LABOUR,NO,59,5,YES,5,RURAL,Y
16,PVT,M,GEN,300000,ACCOUNTANT,NO,80,2,NO,10,RURAL,Y
17,PVT,F,GEN,253449,FARMER,NO,77,1,YES,12,RURAL,N
14,GOVT,M,SC,101265,FARMER,NO,63,4,YES,5,RURAL,Y
10,GOVT,M,GEN,72735,TEACHER,YES,72,5,NO,3,RURAL,Y
13,GOVT,M,OBC,59000,FARMER,NO,62,4,YES,4,RURAL,Y
17,GOVT,M,OBC,75766,PEON,NO,65,4,NO,11,RURAL,Y
16,GOVT,M,OBC,92321,LABOUR,NO,60,3,YES,4,RURAL,Y
14,GOVT,M,SC,86138,PEON,NO,75,4,YES,4,RURAL,Y
10,GOVT,M,GEN,82224,LABOUR,NO,71,5,YES,5,RURAL,Y
16,GOVT,F,GEN,183599,LABOUR,NO,89,1,YES,11,RURAL,Y
12,GOVT,M,SC,96657,PEON,NO,60,2,YES,4,RURAL,Y
10,GOVT,M,ST,83931,ACCOUNTANT,NO,66,4,NO,3,RURAL,Y
18,PVT,F,GEN,268983,BUSINESS,YES,88,2,NO,9,RURAL,N
15,GOVT,M,GEN,110737,ACCOUNTANT,NO,67,3,NO,9,RURAL,Y
12,GOVT,M,SC,75529,FARMER,NO,63,4,YES,3,RURAL,Y
14,GOVT,M,OBC,100385,LABOUR,NO,57,4,YES,4,RURAL,Y
17,GOVT,F,GEN,127742,FARMER,NO,74,2,NO,4,RURAL,Y
16,PVT,F,GEN,284543,ACCOUNTANT,YES,89,2,NO,9,RURAL,N
18,PVT,F,GEN,233794,BUSINESS,YES,70,2,NO,9,URBAN,N
16,GOVT,M,GEN,100667,TEACHER,NO,65,4,YES,3,RURAL,Y
9,GOVT,M,SC,94868,PEON,NO,55,4,YES,3,RURAL,Y
13,GOVT,M,OBC,95505,FARMER,NO,55,3,YES,3,RURAL,Y
14,PVT,M,ST,59000,LABOUR,NO,72,3,YES,4,URBAN,Y
12,GOVT,M,OBC,85933,LABOUR,YES,55,2,NO,4,RURAL,Y
12,GOVT,M,SC,128185,PEON,NO,62,1,YES,4,RURAL,N
18,GOVT,F,ST,128149,PEON,YES,60,3,YES,4,RURAL,Y
13,PVT,M,OBC,62007,PEON,NO,77,4,NO,3,RURAL,Y
14,GOVT,M,OBC,62743,LABOUR,NO,60,3,YES,5,RURAL,Y
11,GOVT,M,SC,90641,ACCOUNTANT,NO,75,4,YES,4,RURAL,Y
14,GOVT,M,SC,66494,TEACHER,NO,57,5,YES,4,RURAL,Y
18,PVT,F,OBC,106712,LABOUR,NO,89,1,YES,9,RURAL,N
13,GOVT,F,GEN,124217,LABOUR,NO,77,1,NO,4,RURAL,Y
18,PVT,F,GEN,255131,ACCOUNTANT,NO,82,2,NO,11,URBAN,N
12,GOVT,M,SC,124854,FARMER,NO,65,3,YES,5,RURAL,Y
18,PVT,M,GEN,66461,TEACHER,NO,59,2,NO,9,RURAL,Y
17,PVT,F,GEN,114129,BUSINESS,YES,73,3,YES,9,URBAN,N
15,GOVT,M,OBC,75166,LABOUR,NO,59,4,YES,6,RURAL,Y
16,PVT,F,GEN,300000,TEACHER,NO,89,2,NO,9,URBAN,N
13,GOVT,F,GEN,142798,TEACHER,NO,76,1,NO,9,RURAL,N
12,GOVT,M,SC,119819,LABOUR,NO,75,3,YES,4,RURAL,Y
13,GOVT,M,OBC,77116,LABOUR,NO,58,5,YES,3,RURAL,Y
17,GOVT,F,OBC,114842,FARMER,NO,64,1,YES,9,RURAL,Y
13,GOVT,M,ST,60703,LABOUR,NO,77,3,NO,4,RURAL,Y
18,PVT,F,GEN,300000,BUSINESS,NO,89,2,NO,9,RURAL,Y
18,PVT,F,GEN,173557,BUSINESS,NO,88,2,NO,10,URBAN,N
14,GOVT,F,SC,110581,FARMER,NO,65,2,YES,5,RURAL,N
16,PVT,F,GEN,251558,LABOUR,YES,89,4,NO,9,URBAN,N
13,GOVT,M,SC,64606,LABOUR,YES,55,4,NO,3,RURAL,N
15,PVT,F,SC,86892,ACCOUNTANT,NO,74,2,NO,10,URBAN,N
16,GOVT,F,OBC,132187,TEACHER,NO,60,2,NO,3,RURAL,N
17,PVT,F,ST,175526,ACCOUNTANT,NO,76,2,NO,11,RURAL,N
16,GOVT,M,OBC,137845,LABOUR,NO,67,4,YES,6,RURAL,N
15,GOVT,M,OBC,139405,FARMER,NO,67,4,YES,5,RURAL,Y
16,GOVT,F,GEN,104433,FARMER,NO,77,4,NO,10,URBAN,Y
18,PVT,F,GEN,146000,FARMER,NO,77,2,NO,8,URBAN,N
18,GOVT,F,OBC,300000,ACCOUNTANT,NO,89,1,YES,11,RURAL,N
18,PVT,F,GEN,268654,BUSINESS,YES,83,2,NO,7,URBAN,N
15,PVT,F,GEN,300000,BUSINESS,YES,86,2,NO,9,URBAN,N
11,GOVT,M,OBC,59000,LABOUR,NO,58,4,YES,4,RURAL,Y
12,GOVT,M,GEN,96556,LABOUR,NO,63,3,NO,12,RURAL,N
17,PVT,F,GEN,300000,BUSINESS,NO,89,1,NO,9,URBAN,N
13,GOVT,M,ST,59000,LABOUR,NO,57,4,YES,4,RURAL,Y
18,PVT,F,GEN,119588,LABOUR,NO,65,1,NO,10,RURAL,N
12,GOVT,M,ST,114784,LABOUR,NO,63,3,YES,4,RURAL,N
13,GOVT,M,ST,121041,LABOUR,NO,57,4,YES,4,RURAL,Y
17,PVT,F,GEN,300000,ACCOUNTANT,NO,83,1,NO,9,URBAN,N
13,GOVT,M,GEN,101023,FARMER,NO,64,1,YES,11,RURAL,Y
17,PVT,F,SC,123592,BUSINESS,NO,89,1,NO,11,RURAL,N
16,GOVT,M,GEN,140578,BUSINESS,NO,74,2,NO,3,RURAL,Y
16,PVT,M,GEN,68674,TEACHER,NO,76,1,YES,3,RURAL,Y
12,GOVT,M,SC,88288,TEACHER,NO,58,3,YES,3,RURAL,N
12,GOVT,F,GEN,120503,PEON,NO,59,3,YES,11,RURAL,N
12,GOVT,M,OBC,63629,FARMER,NO,77,3,YES,3,RURAL,Y
16,PVT,F,GEN,300000,BUSINESS,NO,86,1,NO,11,RURAL,N
18,PVT,F,GEN,186498,BUSINESS,NO,88,1,YES,12,RURAL,N
18,PVT,F,GEN,300000,ACCOUNTANT,NO,89,1,NO,12,RURAL,N
14,GOVT,M,ST,83806,LABOUR,NO,56,1,NO,4,URBAN,N
13,GOVT,M,OBC,152490,TEACHER,NO,61,2,YES,4,RURAL,Y
18,PVT,F,GEN,87670,PEON,NO,62,1,NO,8,RURAL,Y
11,GOVT,M,GEN,110705,LABOUR,YES,77,5,NO,3,RURAL,Y
16,PVT,F,GEN,264731,ACCOUNTANT,NO,89,2,NO,9,RURAL,N
18,PVT,F,GEN,132875,PEON,YES,86,2,NO,10,URBAN,N
9,GOVT,M,OBC,126151,TEACHER,NO,60,2,NO,4,RURAL,Y
17,PVT,F,GEN,300000,ACCOUNTANT,NO,87,1,NO,11,RURAL,N
10,GOVT,M,GEN,72526,ACCOUNTANT,NO,76,5,NO,3,RURAL,Y
18,PVT,F,GEN,235669,BUSINESS,NO,86,1,NO,9,URBAN,N
13,GOVT,M,OBC,99328,FARMER,NO,60,4,YES,3,RURAL,Y
15,PVT,F,GEN,300000,BUSINESS,YES,88,2,NO,9,URBAN,N
13,GOVT,M,OBC,59000,LABOUR,NO,55,4,YES,4,RURAL,Y
16,PVT,F,GEN,235928,PEON,YES,62,1,NO,8,URBAN,N
14,GOVT,M,SC,77674,LABOUR,NO,76,3,YES,5,RURAL,Y
14,GOVT,M,OBC,88674,FARMER,NO,58,5,YES,4,RURAL,Y
17,PVT,F,OBC,173872,ACCOUNTANT,NO,84,1,YES,11,URBAN,N
12,GOVT,M,OBC,59000,LABOUR,NO,62,5,YES,3,RURAL,Y
15,GOVT,M,OBC,70313,LABOUR,NO,61,3,YES,4,RURAL,Y
11,GOVT,M,ST,112095,LABOUR,NO,65,3,YES,3,RURAL,Y
16,GOVT,F,OBC,169753,LABOUR,NO,58,2,YES,5,RURAL,N
13,GOVT,F,OBC,110700,LABOUR,NO,76,2,NO,3,RURAL,Y
18,PVT,M,GEN,133342,BUSINESS,YES,89,1,NO,8,URBAN,Y
9,GOVT,M,ST,109610,LABOUR,NO,55,4,NO,4,RURAL,Y
14,GOVT,M,OBC,160998,FARMER,NO,65,2,YES,4,RURAL,Y
13,GOVT,F,OBC,96844,ACCOUNTANT,NO,65,3,YES,4,URBAN,N
9,GOVT,M,GEN,121982,ACCOUNTANT,NO,61,3,NO,5,RURAL,Y
15,GOVT,M,OBC,105031,LABOUR,NO,74,4,YES,6,RURAL,Y
17,GOVT,M,GEN,151248,LABOUR,NO,86,2,NO,10,RURAL,N
11,GOVT,F,GEN,75244,LABOUR,YES,58,4,NO,3,URBAN,Y
12,GOVT,M,OBC,68307,LABOUR,NO,55,4,YES,4,RURAL,Y
13,GOVT,M,SC,59000,LABOUR,NO,60,3,YES,3,RURAL,Y
18,PVT,F,GEN,296892,BUSINESS,NO,89,2,NO,8,URBAN,N
17,GOVT,F,OBC,93005,LABOUR,NO,65,2,YES,11,RURAL,N
16,PVT,F,GEN,271394,ACCOUNTANT,YES,79,2,NO,8,URBAN,N
12,GOVT,M,SC,145308,BUSINESS,NO,71,4,NO,4,RURAL,Y
12,GOVT,M,OBC,123894,FARMER,NO,60,4,YES,3,RURAL,Y
18,GOVT,M,ST,59760,TEACHER,NO,89,3,NO,4,URBAN,N
14,GOVT,M,GEN,108666,LABOUR,NO,56,4,NO,4,RURAL,Y
18,PVT,F,GEN,300000,BUSINESS,NO,84,1,NO,9,URBAN,N
11,GOVT,M,OBC,94456,FARMER,NO,60,2,YES,6,RURAL,Y
12,GOVT,M,ST,70078,LABOUR,YES,55,5,YES,3,RURAL,Y
16,PVT,F,GEN,300000,ACCOUNTANT,YES,89,1,NO,12,RURAL,N
12,PVT,M,GEN,115347,LABOUR,YES,67,5,NO,3,URBAN,N
14,PVT,M,OBC,77220,LABOUR,NO,72,5,YES,4,RURAL,Y
18,PVT,M,GEN,106588,PEON,NO,89,2,NO,10,URBAN,N
17,GOVT,F,OBC,89017,LABOUR,NO,64,1,YES,9,RURAL,N
18,PVT,F,GEN,300000,ACCOUNTANT,NO,89,1,NO,10,URBAN,N
14,GOVT,M,SC,91974,LABOUR,NO,59,4,YES,3,RURAL,Y
18,GOVT,M,GEN,59000,LABOUR,NO,65,3,NO,3,URBAN,Y
15,PVT,M,OBC,300000,FARMER,NO,68,2,NO,9,RURAL,N
13,GOVT,M,SC,59000,LABOUR,NO,74,5,YES,4,RURAL,Y
18,PVT,F,GEN,253382,PEON,NO,60,1,YES,10,RURAL,N
18,PVT,F,GEN,208736,BUSINESS,NO,84,2,NO,8,URBAN,N
13,GOVT,M,ST,116684,LABOUR,NO,69,3,YES,5,RURAL,Y
16,GOVT,M,OBC,93787,LABOUR,NO,73,2,YES,4,RURAL,N
16,PVT,F,GEN,300000,BUSINESS,NO,87,2,NO,10,URBAN,N
16,PVT,F,GEN,99248,PEON,YES,88,1,NO,11,RURAL,N
18,PVT,F,GEN,300000,ACCOUNTANT,NO,89,1,NO,9,URBAN,N
17,PVT,F,OBC,128652,BUSINESS,NO,89,1,YES,12,RURAL,Y
18,PVT,F,GEN,131952,BUSINESS,NO,76,1,NO,8,URBAN,N
15,GOVT,F,ST,59000,PEON,YES,75,4,YES,9,URBAN,Y
16,GOVT,F,GEN,243613,BUSINESS,YES,86,2,NO,10,URBAN,N
11,GOVT,M,OBC,93995,LABOUR,NO,75,3,NO,4,RURAL,Y
12,GOVT,M,GEN,140453,LABOUR,YES,56,5,NO,3,RURAL,Y
15,PVT,F,SC,106099,BUSINESS,NO,65,1,NO,11,RURAL,Y
